<<<<<<< HEAD
"name,pokemons"
"""Ash"",[{""pokemonNumber"":1,""pokemonName"":""Pikachu""},{""pokemonNumber"":2,""pokemonName"":""Butterfree""},{""pokemonNumber"":3,""pokemonName"":""Pidgeotto""},{""pokemonNumber"":4,""pokemonName"":""Bulbasaur""},{""pokemonNumber"":5,""pokemonName"":""Charizard""},{""pokemonNumber"":6,""pokemonName"":""Squirtle""}]"
"""Brock"",[{""pokemonNumber"":1,""pokemonName"":""Geodude""},{""pokemonNumber"":2,""pokemonName"":""Chansey""},{""pokemonNumber"":3,""pokemonName"":""Crobat""},{""pokemonNumber"":4,""pokemonName"":""Vulpix""},{""pokemonNumber"":5,""pokemonName"":""Forretress""},{""pokemonNumber"":6,""pokemonName"":""Steelix""}]"
"""Misty"",[{""pokemonNumber"":1,""pokemonName"":""Horsea""},{""pokemonNumber"":2,""pokemonName"":""Starmie""},{""pokemonNumber"":3,""pokemonName"":""Goldeen""},{""pokemonNumber"":4,""pokemonName"":""Togetic""},{""pokemonNumber"":5,""pokemonName"":""Gyarados""},{""pokemonNumber"":6,""pokemonName"":""Psyduck""}]"
"""Amit"",[{""pokemonNumber"":1,""pokemonName"":""Jolteon""},{""pokemonNumber"":2,""pokemonName"":""Alakazam""},{""pokemonNumber"":3,""pokemonName"":""Tauros""},{""pokemonNumber"":4,""pokemonName"":""Gyarados""},{""pokemonNumber"":5,""pokemonName"":""Gengar""},{""pokemonNumber"":6,""pokemonName"":""Aerodactyl""}]"
=======
"name,pokemons"
"""Ash"",[{""pokemonNumber"":1,""pokemonName"":""Pikachu""},{""pokemonNumber"":2,""pokemonName"":""Butterfree""},{""pokemonNumber"":3,""pokemonName"":""Pidgeotto""},{""pokemonNumber"":4,""pokemonName"":""Bulbasaur""},{""pokemonNumber"":5,""pokemonName"":""Charizard""},{""pokemonNumber"":6,""pokemonName"":""Squirtle""}]"
"""Brock"",[{""pokemonNumber"":1,""pokemonName"":""Geodude""},{""pokemonNumber"":2,""pokemonName"":""Chansey""},{""pokemonNumber"":3,""pokemonName"":""Crobat""},{""pokemonNumber"":4,""pokemonName"":""Vulpix""},{""pokemonNumber"":5,""pokemonName"":""Forretress""},{""pokemonNumber"":6,""pokemonName"":""Steelix""}]"
"""Misty"",[{""pokemonNumber"":1,""pokemonName"":""Horsea""},{""pokemonNumber"":2,""pokemonName"":""Starmie""},{""pokemonNumber"":3,""pokemonName"":""Goldeen""},{""pokemonNumber"":4,""pokemonName"":""Togetic""},{""pokemonNumber"":5,""pokemonName"":""Gyarados""},{""pokemonNumber"":6,""pokemonName"":""Psyduck""}]"
"""Amit"",[{""pokemonNumber"":1,""pokemonName"":""Jolteon""},{""pokemonNumber"":2,""pokemonName"":""Alakazam""},{""pokemonNumber"":3,""pokemonName"":""Tauros""},{""pokemonNumber"":4,""pokemonName"":""Gyarados""},{""pokemonNumber"":5,""pokemonName"":""Gengar""},{""pokemonNumber"":6,""pokemonName"":""Aerodactyl""}]"
>>>>>>> 96577e4ef500dea8063f87d983c06d937a49aaed
